content,publish_time,like_count,comment_count,platform,brand,product,campaign,source_type,risk_label,sentiment,sentiment_score,sentiment_confidence,topic_distribution,dominant_topic,topic_confidence
用了几天，这次光感修护精华液真的好用，质地清爽不黏，早上上妆也不搓泥，已经准备回购。希望品牌给个明确说明。我是混油皮，达人链接下单，早晚用了4天，这个点对敏感肌很关键。,2026-06-01 02:44:00,57,15,小红书,NewBrand,光感修护精华液,敏感肌种草,用户评论,正向口碑,positive,0.7,1.0,[0.02644835 0.02672842 0.02638693 0.89374197 0.02669434],3,0.8937419686434589
测评后感觉，价格比竞品贵一截，但效果没有宣传那么夸张，感觉被种草文骗了。我是外油内干，达人链接下单，空瓶半瓶后，和同价位竞品对比差异明显。,2026-05-28 20:41:00,126,38,微博,竞品B,光感修护精华液,夏季修护专题,达人笔记,价格价值争议,neutral,0.0,0.5,[0.02805099 0.02803057 0.02808698 0.88780128 0.02803018],3,0.887801277770244
价格比竞品贵一截，但效果没有宣传那么夸张，感觉被种草文骗了。大家怎么看？我是外油内干，小样试用后入正装，用了2次，评论区反馈分化很明显。,2026-05-27 03:31:00,133,37,京东评价,NewBrand,光感修护精华液,达人测评,电商评价,价格价值争议,neutral,0.0,0.5,[0.02860114 0.02851371 0.02845296 0.88584998 0.02858221],3,0.8858499784965963
连续用了一周，光感修护精华液对换季干燥有改善，修护感很明显。希望品牌给个明确说明。我是油敏皮，小样试用后入正装，用了2次，后续上妆状态变化很大。,2026-05-30 19:45:00,71,4,天猫评价,NewBrand,光感修护精华液,夏季修护专题,话题讨论,正向口碑,positive,1.125,1.0,[0.02789372 0.88894704 0.02752147 0.02780655 0.02783122],1,0.8889470410334166
姐妹们，这次温和洁面乳真的好用，质地清爽不黏，早上上妆也不搓泥，已经准备回购。大家怎么看？我是外油内干，大促囤货，用了1周，大促期间看到很多类似反馈。,2026-05-30 21:29:00,59,14,天猫评价,NewBrand,温和洁面乳,敏感肌种草,用户评论,正向口碑,positive,0.625,0.925,[0.0278138  0.028202   0.02700137 0.72531901 0.19166382],3,0.7253190076366789
用了几天，看到很多人反馈刺痛，也有人说好用，感觉和肤质关系很大。希望品牌给个明确说明。我是干敏皮，大促囤货，刚上脸10分钟，客服回复会直接影响我是否复购。,2026-05-27 13:59:00,20,15,天猫评价,竞品C,温和洁面乳,618大促,达人笔记,中性观察,neutral,0.0,0.3,[0.89876617 0.02535266 0.02524806 0.02529687 0.02533624],0,0.8987661738032667
用了三天爆痘，停用后才慢慢好，不敢继续用了。希望品牌给个明确说明。我是痘肌，直播间入手，空瓶半瓶后，大促期间看到很多类似反馈。,2026-05-30 01:55:00,183,22,京东评价,NewBrand,早C晚A精华套装,新品上市,达人笔记,价格价值争议,positive,0.333,0.633,[0.02892779 0.02882462 0.02866174 0.02875024 0.88483561],4,0.8848356084536229
测评后感觉，用了三天爆痘，停用后才慢慢好，不敢继续用了。大家怎么看？我是沙漠干皮，大促囤货，连续用了3天，希望品牌补充适用人群说明。,2026-05-31 22:07:00,66,20,B站,NewBrand,早C晚A精华套装,敏感肌种草,短视频评论,产品质量风险,positive,0.333,0.633,[0.02976194 0.02994478 0.0295061  0.02982508 0.88096209],4,0.8809620899437093
姐妹们，保湿和提亮都比较自然，不是那种立刻假白的效果。希望品牌给个明确说明。我是沙漠干皮，达人链接下单，刚上脸10分钟，评论区反馈分化很明显。,2026-05-31 07:57:00,54,1,京东评价,NewBrand,光感修护精华液,达人测评,达人笔记,正向口碑,positive,0.333,0.633,[0.89514729 0.02614681 0.02599076 0.02654514 0.02617   ],0,0.8951472937367783
活动价还可以，套装搭配合理，适合第一次尝试这个系列。我是沙漠干皮，大促囤货，用了2次，后续上妆状态变化很大。,2026-05-28 17:38:00,30,7,抖音,NewBrand,舒缓保湿面膜,618大促,达人笔记,正向口碑,positive,1.0,1.0,[0.03146773 0.03140248 0.03121416 0.03155183 0.8743638 ],4,0.8743638011317632
用了几天，用了三天爆痘，停用后才慢慢好，不敢继续用了。希望品牌给个明确说明。我是正常偏干，朋友推荐后购买，用了1周，鼻翼和脸颊反应最明显。,2026-05-31 05:04:00,75,38,抖音,NewBrand,光感修护精华液,达人测评,用户评论,产品质量风险,positive,0.333,0.633,[0.02889137 0.02886915 0.02878237 0.02895859 0.88449853],4,0.8844985258414481
用了几天，用了三天爆痘，停用后才慢慢好，不敢继续用了。我是正常偏干，直播间入手，空瓶半瓶后，大促期间看到很多类似反馈。,2026-05-30 16:34:00,118,11,天猫评价,NewBrand,舒缓保湿面膜,618大促,话题讨论,广告承诺争议,neutral,0.0,0.3,[0.02953955 0.0294326  0.02934608 0.0293744  0.88230737],4,0.882307369506733
质地看着高级，上脸却搓泥，后续上妆完全不服帖，踩雷。大家怎么看？我是油敏皮，旗舰店买的，用了2次，后续上妆状态变化很大。,2026-05-31 05:17:00,279,32,小红书,NewBrand,光感修护精华液,达人测评,电商评价,广告承诺争议,neutral,0.0,0.5,[0.86004597 0.03499668 0.03468989 0.03497085 0.03529661],0,0.8600459684069864
测评后感觉，NewBrand广告说温和修护，但我用完明显过敏，这种宣传太离谱。大家怎么看？我是痘肌，达人链接下单，连续用了3天，希望品牌补充适用人群说明。,2026-05-27 20:52:00,363,45,微博,NewBrand,屏障修护面霜,618大促,话题讨论,广告承诺争议,neutral,0.1,0.4,[0.02886298 0.88452521 0.02870193 0.02889034 0.02901953],1,0.8845252055328616
说实话，NewBrand广告说温和修护，但我用完明显过敏，这种宣传太离谱。我是痘肌，大促囤货，连续用了3天，客服回复会直接影响我是否复购。,2026-05-29 04:50:00,113,28,天猫评价,NewBrand,早C晚A精华套装,敏感肌种草,电商评价,售后体验不满,neutral,-0.125,0.425,[0.02970973 0.88203291 0.02919793 0.02936143 0.029698  ],1,0.882032913218788
NewBrand这波新品包装和肤感都比以前细腻，吸收快，味道也克制。大家怎么看？我是干敏皮，朋友推荐后购买，刚上脸10分钟，和同价位竞品对比差异明显。,2026-05-27 23:53:00,30,25,B站,NewBrand,温和洁面乳,敏感肌种草,达人笔记,正向口碑,positive,1.0,1.0,[0.02689747 0.02683823 0.02683702 0.02676038 0.8926669 ],4,0.8926669027535862
