content,publish_time,like_count,comment_count,platform,brand,product,campaign,source_type,risk_label
用了几天，这次光感修护精华液真的好用，质地清爽不黏，早上上妆也不搓泥，已经准备回购。希望品牌给个明确说明。我是混油皮，达人链接下单，早晚用了4天，这个点对敏感肌很关键。,2026-06-01 02:44:00,57,15,小红书,NewBrand,光感修护精华液,敏感肌种草,用户评论,正向口碑
测评后感觉，价格比竞品贵一截，但效果没有宣传那么夸张，感觉被种草文骗了。我是外油内干，达人链接下单，空瓶半瓶后，和同价位竞品对比差异明显。,2026-05-28 20:41:00,126,38,微博,竞品B,光感修护精华液,夏季修护专题,达人笔记,价格价值争议
价格比竞品贵一截，但效果没有宣传那么夸张，感觉被种草文骗了。大家怎么看？我是外油内干，小样试用后入正装，用了2次，评论区反馈分化很明显。,2026-05-27 03:31:00,133,37,京东评价,NewBrand,光感修护精华液,达人测评,电商评价,价格价值争议
连续用了一周，光感修护精华液对换季干燥有改善，修护感很明显。希望品牌给个明确说明。我是油敏皮，小样试用后入正装，用了2次，后续上妆状态变化很大。,2026-05-30 19:45:00,71,4,天猫评价,NewBrand,光感修护精华液,夏季修护专题,话题讨论,正向口碑
姐妹们，这次温和洁面乳真的好用，质地清爽不黏，早上上妆也不搓泥，已经准备回购。大家怎么看？我是外油内干，大促囤货，用了1周，大促期间看到很多类似反馈。,2026-05-30 21:29:00,59,14,天猫评价,NewBrand,温和洁面乳,敏感肌种草,用户评论,正向口碑
用了几天，看到很多人反馈刺痛，也有人说好用，感觉和肤质关系很大。希望品牌给个明确说明。我是干敏皮，大促囤货，刚上脸10分钟，客服回复会直接影响我是否复购。,2026-05-27 13:59:00,20,15,天猫评价,竞品C,温和洁面乳,618大促,达人笔记,中性观察
用了三天爆痘，停用后才慢慢好，不敢继续用了。希望品牌给个明确说明。我是痘肌，直播间入手，空瓶半瓶后，大促期间看到很多类似反馈。,2026-05-30 01:55:00,183,22,京东评价,NewBrand,早C晚A精华套装,新品上市,达人笔记,价格价值争议
测评后感觉，用了三天爆痘，停用后才慢慢好，不敢继续用了。大家怎么看？我是沙漠干皮，大促囤货，连续用了3天，希望品牌补充适用人群说明。,2026-05-31 22:07:00,66,20,B站,NewBrand,早C晚A精华套装,敏感肌种草,短视频评论,产品质量风险
姐妹们，保湿和提亮都比较自然，不是那种立刻假白的效果。希望品牌给个明确说明。我是沙漠干皮，达人链接下单，刚上脸10分钟，评论区反馈分化很明显。,2026-05-31 07:57:00,54,1,京东评价,NewBrand,光感修护精华液,达人测评,达人笔记,正向口碑
活动价还可以，套装搭配合理，适合第一次尝试这个系列。我是沙漠干皮，大促囤货，用了2次，后续上妆状态变化很大。,2026-05-28 17:38:00,30,7,抖音,NewBrand,舒缓保湿面膜,618大促,达人笔记,正向口碑
